SPY US Equity,,,
Dates,PX_OPEN,PX_LAST,PX_VOLUME
1/25/1994,47.219,47.188,310400
1/26/1994,47.188,47.313,155100
1/27/1994,47.406,47.75,346000
1/28/1994,47.938,47.875,356500
1/31/1994,48.063,48.219,314200
2/1/1994,48.156,47.969,303600
2/2/1994,48.125,48.281,307600
2/3/1994,48.188,48.063,466100
2/4/1994,48.063,46.969,1403200
2/7/1994,46.844,47.188,516400
2/8/1994,47.281,47.219,195500
2/9/1994,47.25,47.406,144600
2/10/1994,47.375,47,883900
2/11/1994,47.031,47.156,519400
2/14/1994,47.063,47.219,2777100
2/15/1994,47.313,47.469,374700
2/16/1994,47.531,47.438,287600
2/17/1994,47.656,47.156,342400
2/18/1994,47.188,46.875,313600
2/22/1994,47,47.344,154500
2/23/1994,47.406,47.219,391700
2/24/1994,47.063,46.594,770800
2/25/1994,46.656,46.813,531300
2/28/1994,46.938,46.813,343000
3/1/1994,46.875,46.625,422300
3/2/1994,46.063,46.688,581500
3/3/1994,46.625,46.563,223200
3/4/1994,46.563,46.688,595800
3/7/1994,46.875,46.938,549800
3/8/1994,46.969,46.75,880300
3/9/1994,46.813,46.969,2500100
3/10/1994,46.969,46.594,210400
3/11/1994,46.688,46.844,581600
3/14/1994,47.031,46.906,345900
3/15/1994,47.031,46.875,773600
3/16/1994,46.969,47.25,480500
3/17/1994,47.094,47.25,133000
3/18/1994,46.75,46.969,379500
3/21/1994,46.813,46.844,324800
3/22/1994,46.844,46.969,435700
3/23/1994,46.938,46.938,713500
3/24/1994,46.75,46.375,1200500
3/25/1994,46.406,45.938,101700
3/28/1994,46,46,1117200
3/29/1994,46,45.094,338400
3/30/1994,45.125,44.469,1123500
3/31/1994,44.469,44.594,788800
4/4/1994,43.344,43.906,2627300
4/5/1994,44.344,44.813,1179000
4/6/1994,44.875,44.813,516500
4/7/1994,44.781,45.031,666100
4/8/1994,44.938,44.688,242400
4/11/1994,44.813,45.031,201300
4/12/1994,44.922,44.813,1409200
4/13/1994,44.797,44.578,364100
4/14/1994,44.5,44.594,419900
4/15/1994,44.578,44.594,387300
4/18/1994,44.641,44.297,369100
4/19/1994,44.25,44.359,472200
4/20/1994,44.406,44.313,508000
4/21/1994,44.5,44.906,200300
4/22/1994,45.016,44.859,301800
